anyaH-anyA-anyad	other (pronominal adj)	antoine1-21-22
eka	one (pronominal adj)	antoine1-21-22
para	other (pronominal adj)	antoine1-21-22
kataraH-katarA-katarad	which of two (pronominal adj)	antoine1-21-22
cakfvas	adj having done	antoine1-21-22
jagmivas	 having gone	antoine1-21-22
tasTivas	adj having stood	antoine1-21-22
ninIvas	adj having led	antoine1-21-22
jaGnivas	adj having killed	antoine1-21-22
vidvas	adj learned (man)	antoine1-21-22
rAjan rAjA	m. king	antoine1-21-22
vartman	n. path	antoine1-21-22
mahiman mahimA	m. greatness	antoine1-21-22
gariman garimA	m. heaviness	antoine1-21-22
preman premA prema	m. n. love	antoine1-21-22
mUrDan  mUrDA	m. head	antoine1-21-22
Atman AtmA	m. self	antoine1-21-22
nAman nAma	n. name	antoine1-21-22
karman karma	n. work	antoine1-21-22
janman janma	n. birth	antoine1-21-22
brahman brahmA brahma	m. n. the Absolute	antoine1-21-22
vyoman vyoma	n. sky	antoine1-21-22
Basman Basma	n. ashes	antoine1-21-22
veSman veSma	n. house	antoine1-21-22
loman loma	n. hair	antoine1-21-22
carman carma	n. skin, leather	antoine1-21-22
Cadman  Cadma	n. disguise, fraud	antoine1-21-22
pratyac	western, averted	antoine1-21-22
nyac	downward	antoine1-21-22
samyac	right, proper	antoine1-21-22
udac	upward	antoine1-21-22
anvac	following	antoine1-21-22
vizvac	pervading	antoine1-21-22
tiryac	horizontal	antoine1-21-22
parAc	turned away	antoine1-21-22
prAc	eastern	antoine1-21-22
avAc	southern	antoine1-21-22
jyotsnA	moonlight	antoine1-21-22
caRqAlaH	outcast	antoine1-21-22
vizam	poison	antoine1-21-22
vi-DA	to perform, to lay down	antoine1-21-22
vi-ram  viramati	to stop, to cease	antoine1-21-22
